[17/Jan 14:43:28] DEBUG : org.jbox2d.testbed.framework.j2d.TestPanelJ2D - dbImage is null, creating a new one
[17/Jan 14:43:29] DEBUG : org.reflections.Reflections - going to scan these urls:
	file:/afs/inf.ed.ac.uk/user/s10/s1039116/workspace/SDP/UoE-SDP-2013-Group-6/bin/

[17/Jan 14:43:29] INFO : org.reflections.Reflections - Reflections took 680 ms to scan 1 urls, producing 79 keys and 278 values 
[17/Jan 14:43:29] DEBUG : balle.strategy.StrategyFactory - ---------------------- getRunnableStrategies
[17/Jan 14:43:30] DEBUG : balle.strategy.StrategyFactory - Found 19 runnable strategies
[17/Jan 14:43:30] INFO : balle.strategy.StrategyRunner - StrategyRunner initialised
[17/Jan 14:43:42] INFO : balle.strategy.Game - Starting game strategy with initial strategy turned on
[17/Jan 14:43:42] INFO : balle.strategy.StrategyRunner - Started balle.strategy.friendly1.Game
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
[17/Jan 14:43:42] DEBUG : balle.strategy.Game - Selected strategy: balle.strategy.planner.GoToBallSafeProportional
